abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Over the years, some 100 people have translated the entire “Iliad” into English. The latest of them, Emily Wilson, explains what different approaches to one key scene say about the original, and the translators.","In one of the most moving and memorable scenes from the “Iliad,” the great Trojan warrior Hector says farewell to his wife, Andromache, who has urged him not to risk his life by fighting on the plain. He gives their baby back to her, tells her to go home, and reiterates his decision to advance on the enemy.","{'main': 'Exit Hector, Again and Again: How Different Translators Reveal the ‘Iliad’ Anew', 'kicker': None, 'content_kicker': None, 'print_headline': 'Up Close / Exit Hector, Again and Again', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'Poetry and Poets', 'Translation and Interpreters', 'Homer', 'Wilson, Emily (1971- )', 'Iliad (Book)', 'Chapman, George (Translator)', 'Fagles, Robert', 'Pope, Alexander', 'Butler, Samuel (1835-1902)']",2023-06-28T15:19:23+0000,article,Books
"The Times convened five notable translators who bring literature from other languages into English, and asked them about the joys and challenges of the job.","There are as many ways of translating a literary text as there are translators. The act of carrying a work from one language to another — an art as much as a craft — is anything but mechanical: Translators’ choices are informed by their sensibilities, their emotional landscape, their background.","{'main': '‘Building Something Together’: Translators Discuss Their Art', 'kicker': 'Roundtable', 'content_kicker': None, 'print_headline': '‘Building Something Together’', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'Translation and Interpreters', 'Language and Languages', 'Book Trade and Publishing', 'Writing and Writers', 'Content Type: Personal Profile', 'English Language', 'Tiang, Jeremy (Playwright)', 'Schnee, Samantha', 'Powell, Allison Markin', 'Poopoksakul, Mui', 'Lobato, Bruna Dantas']",2023-06-28T15:21:14+0000,article,Books
The magazine’s Ethicist columnist on judging people who use prescription drugs to lose weight.,"Recently, two of my good friends (neither of whom is obese) have joined the masses taking semaglutide for weight loss. Because the three of us live in different parts of the country, our friendship is maintained by annual visits and frequent texts. Lately in our text thread, all they can do is rave about how these drugs have been “life-changing” in helping them drop the stubborn 20 pounds they’ve been wanting to lose since hitting their 40s. I’m conflicted about the safety and popularity of these drugs for weight loss, and so I’ve remained silent whenever this topic comes up. Our annual trip is coming up, and I fear I’ll be forced to offer my opinion about their weight loss, especially since the trip involves time at the pool. Should I compliment them to keep the peace? Or is there a tactful way to make my differing opinion about these drugs known? — Name Withheld","{'main': 'My Best Friends Are Taking Ozempic. Can I Share My Disapproval?', 'kicker': 'The Ethicist', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-sub-only-nl', 'Ethics (Personal)', 'Ozempic (Drug)', 'Friendship', 'Weight', 'Diet and Nutrition']",2023-06-28T15:23:56+0000,article,Magazine
"We are honoring the Top 11 winners of our Student Editorial Contest by publishing their essays. This one is by Leah N. Scarpa, age 17.","This essay, by Leah N. Scarpa, age 17, from St. Teresa’s Academy in Kansas City, Mo., is one of the Top 11 winners of The Learning Network’s 10th Annual Student Editorial Contest, for which we received 12,592 entries.","{'main': 'A Wedgie War Zone', 'kicker': 'Student Editorial Contest Winner', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Uniforms', 'Women and Girls', 'Athletics and Sports']",2023-06-28T15:47:12+0000,article,The Learning Network
"His family name, libertarian bent and support from the tech world, along with his views on censorship and vaccines, have given Robert F. Kennedy Jr. a foothold in the 2024 contest.","Speaking at a festival hosted by a libertarian group in New Hampshire, Robert F. Kennedy Jr. railed against the “mainstream media” for serving as “propagandists for the powerful.” Each time he mentioned the perfidy of the press — for silencing dissent, for toeing the government line, for labeling him a conspiracy theorist — he drew a supportive hail of jeers.","{'main': 'Kennedy, Condemning ‘Censorship,’ Hits Democrats and Courts the Disaffected', 'kicker': None, 'content_kicker': None, 'print_headline': 'Condemning ‘Censorship,’ Kennedy Draws Support From Unlikely Coalition', 'name': None, 'seo': None, 'sub': None}","['Kennedy, Robert F Jr', 'Democratic Party', 'Primaries and Caucuses', 'Presidential Election of 2024', 'United States Politics and Government', 'Censorship', 'News and News Media', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Conspiracy Theories', 'Campaign Finance']",2023-06-28T15:57:28+0000,article,U.S.
"We are honoring the Top 11 winners of our Student Editorial Contest by publishing their essays. This one is by Sylvia Woodbury, age 19.","This essay, by Sylvia Woodbury, 19, who is taking a gap year, in Sharon, Mass., is one of the Top 11 winners of The Learning Network’s 10th Annual Student Editorial Contest, for which we received 12,592 entries.","{'main': 'The Unlimited Possibilities of Animation', 'kicker': 'Student Editorial Contest Winner', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Movies', 'Animated Films']",2023-06-28T16:15:54+0000,article,The Learning Network
"A liberal Republican who became a third-party governor, he was known for his fierce criticism of Nixon and later termed Donald Trump “a total con artist.”","Lowell P. Weicker Jr., a liberal Republican who earned a national reputation for pugnacious political independence — first as a young United States senator during the Watergate hearings and later as a third-party governor of Connecticut — died on Wednesday at a hospital in Middletown, in central Connecticut. He was 92. ","{'main': 'Lowell Weicker, Senator Whose Star Rose During Watergate, Dies at 92', 'kicker': None, 'content_kicker': None, 'print_headline': 'Lowell Weicker, 92, Maverick Connecticut Senator and Governor, Dies', 'name': None, 'seo': None, 'sub': None}","['Weicker, Lowell P Jr', 'Deaths (Obituaries)', 'United States Politics and Government', 'Watergate Affair', 'Republican Party', 'Senate', 'Connecticut', ""Trust for America's Health"", 'Nixon, Richard Milhous']",2023-06-28T16:18:48+0000,article,U.S.
The onetime personal lawyer for Donald Trump answered questions from federal prosecutors about the former president’s efforts to remain in power after his 2020 election loss.,"Rudolph W. Giuliani, who served as former President Donald J. Trump’s personal lawyer, was interviewed last week by federal prosecutors investigating Mr. Trump’s efforts to overturn the 2020 election, people familiar with the matter said.","{'main': 'Giuliani Sat for Voluntary Interview in Jan. 6 Investigation', 'kicker': None, 'content_kicker': None, 'print_headline': 'Giuliani Voluntarily Spoke to Jan. 6 Prosecutors', 'name': None, 'seo': None, 'sub': None}","['Giuliani, Rudolph W', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'Smith, Jack (Attorney)', 'Special Prosecutors (Independent Counsel)', 'Justice Department', 'Storming of the US Capitol (Jan, 2021)', 'Presidential Election of 2020', 'United States Politics and Government', 'Trump, Donald J']",2023-06-28T16:24:37+0000,article,U.S.
Some Russian generals and foreign intelligence agencies appear to have gotten early signals of the mercenary leader’s plans.,"As details emerge about the aborted rebellion in Russia last weekend led by Yevgeny V. Prigozhin, it is becoming clear that some Russian officials and foreign intelligence agencies knew about it in advance.","{'main': 'Who Knew About Prigozhin’s Wagner Revolt Before It Happened?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Prigozhin, Yevgeny V', 'Surovikin, Sergei', 'Zolotov, Viktor V', 'Mercenaries and Private Military Contractors', 'Espionage and Intelligence Services', 'Russian Invasion of Ukraine (2022)', 'Moscow (Russia)', 'Ukraine', 'Belarus']",2023-06-28T16:25:46+0000,article,World
"Biles, a seven-time Olympic medalist, last competed at the Tokyo Games in 2021, when she withdrew from some events because of a mental block.","The star gymnast Simone Biles, whose expected dominance at the 2021 Tokyo Olympics was disrupted by mental health issues and who has not competed since, may be planning a comeback a year before the Paris Games.","{'main': 'Simone Biles Signals a Return to Elite Gymnastics', 'kicker': None, 'content_kicker': None, 'print_headline': 'Biles Signals Return, Perhaps for ’24 Games', 'name': None, 'seo': None, 'sub': None}","['Biles, Simone', 'Gymnastics', 'Olympic Games (2020)', 'Olympic Games (2024)', 'USA Gymnastics', 'Mental Health and Disorders']",2023-06-28T16:26:51+0000,article,Sports
A majority on the court ruled against the “independent state legislature” theory. Also: Race and class; tax relief; reading; the German far right.,To the Editor:,"{'main': 'The Supreme Court’s Rejection of a Disputed Legal Theory on Elections', 'kicker': 'letters', 'content_kicker': None, 'print_headline': 'Justices’ Ruling on Elections Legal Theory', 'name': None, 'seo': None, 'sub': None}","['Supreme Court (US)', 'Decisions and Verdicts', 'State Legislatures', 'Elections', 'States (US)', 'Federal-State Relations (US)', 'Affirmative Action', 'Reparations', 'Black People', 'Blacks', 'Property Taxes', 'New York State', 'New Jersey', 'Federal Taxes (US)', 'Reading and Writing Skills (Education)', 'Education (K-12)', 'Germany', 'Alternative for Germany', 'Jews and Judaism', 'Anti-Semitism', 'Neo Nazi Groups']",2023-06-28T16:26:55+0000,article,Opinion
Reports that the White House may clamp down on sales of semiconductors that power artificial intelligence capabilities sent tech stocks diving.,"The Biden administration is weighing additional curbs on China’s ability to access critical technology, including restricting the sale of high-end chips used to power artificial intelligence, according to five people familiar with the deliberations.","{'main': 'Biden Administration Weighs Further Curbs on Sales of A.I. Chips to China', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. May Cut China’s Path To A.I. Chips', 'name': None, 'seo': None, 'sub': None}","['China', 'Biden, Joseph R Jr', 'United States International Relations', 'Artificial Intelligence', 'Computer Chips', 'International Trade and World Market', 'Advanced Micro Devices Inc.', 'NVIDIA Corporation', 'Intel Corporation', 'APPLIED MATERIALS INC']",2023-06-28T16:38:04+0000,article,Business Day
"The heads of the Federal Reserve, European Central Bank and Bank of England said that while inflation was moderating somewhat there was still more work to be done.","Central bankers from the world’s leading economies said on Wednesday that while they had raised interest rates significantly, additional increases would very likely be needed to wrestle inflation back under control given the strength of labor markets.","{'main': 'Top Central Bankers Expect More Rate Increases Amid Stubborn Inflation', 'kicker': None, 'content_kicker': None, 'print_headline': 'Citing Inflation, Central Bankers Expect More Rate Hikes', 'name': None, 'seo': None, 'sub': None}","['Banking and Financial Institutions', 'Interest Rates', 'United States Economy', 'Inflation (Economics)', 'European Central Bank', 'Bank of England', 'Federal Reserve System', 'Bailey, Andrew (1959- )', 'Lagarde, Christine', 'Powell, Jerome H', 'Ueda, Kazuo']",2023-06-28T16:44:44+0000,article,Business Day
"In a move that has stoked conflict with the Metropolitan Transportation Authority, a private developer unveiled a renovation plan that it says would save at least $1 billion.",A private development firm with an alternative vision for the remaking of Manhattan’s Pennsylvania Station said on Wednesday that its plan would be significantly cheaper than a rival proposal backed by the Metropolitan Transportation Authority.,"{'main': 'Private Firm Announces Competing Vision for Penn Station Redesign', 'kicker': None, 'content_kicker': None, 'print_headline': 'Private Firm Says Its Vision for Penn Station Redesign Would Save $1 Billion', 'name': None, 'seo': None, 'sub': None}","['Stations and Terminals (Passenger)', 'Transit Systems', 'Politics and Government', 'Building (Construction)', 'AMTRAK', 'Madison Square Garden', 'Pennsylvania Station (Manhattan, NY)', 'New York City', 'Railroads', 'Real Estate (Commercial)', 'Metropolitan Transportation Authority', 'ASTM North America']",2023-06-28T17:01:33+0000,article,New York
"Several leading scholarly groups have criticized the Museum of the American Revolution in Philadelphia for renting space to the group, which has pushed for book bans.","A half-dozen scholarly groups, including the nation’s two largest associations of professional historians, have criticized the Museum of the American Revolution in Philadelphia for renting space to Moms for Liberty, calling it a dangerous normalization of an organization that supports book bans and restrictions on teaching about race and gender.","{'main': 'Historians Criticize Moms for Liberty Event at Museum in Philadelphia', 'kicker': None, 'content_kicker': None, 'print_headline': 'Museum Criticized For Housing Event', 'name': None, 'seo': None, 'sub': None}","['Museums', 'Book Bans', 'Revolutionary War, American (1775-83)', 'Museum of the American Revolution', 'Organization of American Historians', 'AMERICAN HISTORICAL ASSN', 'Moms for Liberty', 'Berkshire Conference of Women Historians', 'Committee on LGBTQ History']",2023-06-28T17:22:55+0000,article,Arts
"Lloyd Howell Jr. was elected executive director of the union, replacing DeMaurice Smith, as gambling, new media and an expanding schedule generate more business for the N.F.L.","After a 16-month search, the N.F.L. Players Association chose Lloyd Howell Jr. as its new executive director. He’ll be the fourth since the league’s 1970 merger and replace DeMaurice Smith.","{'main': 'Eyeing Expanding Revenue, N.F.L. Players Tap a Business Executive to Lead Their Union', 'kicker': None, 'content_kicker': None, 'print_headline': 'Business Executive to Lead N.F.L. Players’ Union', 'name': None, 'seo': None, 'sub': None}","['Howell, Lloyd', 'National Football League Players Assn', 'Organized Labor', 'Football', 'Appointments and Executive Changes', 'National Football League', 'Smith, DeMaurice']",2023-06-28T17:30:30+0000,article,Sports
"“Belarus is unpredictable and dangerous, and this has not changed,” the Estonian prime minister, Kaja Kallas, said in Brussels at a news conference with NATO’s secretary general. “We are ready for any developments.”","Ahead of an annual NATO summit scheduled for next month, the leaders of alliance members Estonia and Poland on Wednesday stressed the need for vigilance over the Wagner mercenary group’s potential relocation to Belarus.","{'main': 'NATO Stresses Risk of Wagner Group’s Potential Relocation to Belarus', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['North Atlantic Treaty Organization', 'Belarus', 'Estonia', 'Lithuania', 'Poland']",2023-06-28T17:39:34+0000,article,World
The storm was more than 400 miles off Mexico’s west coast on Thursday. It was forecast to stay offshore.,"Hurricane Adrian continued to move westward off the coast of Mexico on Thursday, a day after it rapidly intensified to become the first hurricane in the eastern Pacific region this year, the National Hurricane Center said.","{'main': 'Hurricane Adrian Churns Off the Coast of Mexico in the Eastern Pacific', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Hurricanes and Tropical Storms', 'El Nino Southern Oscillation', 'National Hurricane Center', 'Baja California (Mexico)', 'Pacific Ocean', 'Oceans and Seas', 'Mexico', 'California', 'Hawaii', 'Manzanillo (Mexico)']",2023-06-28T18:04:59+0000,article,World
"A landmark happening in its own right, the seven-day event also took place during a war — one that rights advocates said has increased visibility and acceptance of the L.G.B.T.Q. community.",This is one in an occasional series of dispatches about life amid the war in Ukraine.,"{'main': 'Ukraine Diary: Kyiv hosts Ukraine’s first-ever L.G.B.T.Q. film festival.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Kyiv (Ukraine)', 'Ukraine', 'Zelensky, Volodymyr', 'Russian Invasion of Ukraine (2022)', 'International Relations', 'Homosexuality and Bisexuality', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships']",2023-06-28T18:08:00+0000,article,World
"The nursing homes illegally misused Medicare and Medicaid funds for personal enrichment and neglected patients, according to the New York attorney general, Letitia James.","The owners and operators of four nursing homes siphoned off more than $83 million in taxpayer funds while neglecting residents, leading to injuries and death, according to the New York State attorney general, Letitia James, who filed a lawsuit against the owners on Wednesday.","{'main': 'Nursing Homes Defrauded Taxpayers of $83 Million, Lawsuit Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Nursing Homes Defrauded Taxpayers of $83 Million, Lawsuit Says', 'name': None, 'seo': None, 'sub': None}","['Nursing Homes', 'Embezzlement', 'Centers Health Care', 'Elder Abuse', 'Elder Care', 'Abuse of the Disabled', 'Coronavirus (2019-nCoV)', 'Suits and Litigation (Civil)', 'James, Letitia', 'New York State', 'Medicare', 'Medicaid']",2023-06-28T18:17:25+0000,article,New York
It’s not the first time that the Florida governor has faced accusations of inappropriately blurring the lines between his official duties and his presidential campaign.,"It was a photo op intended to turbocharge Republican voters, one showing Gov. Ron DeSantis of Florida posing in front of a helicopter on Sunday at the southern border in Texas.","{'main': 'DeSantis’s Taxpayer-Funded Helicopter Ride in Texas Draws Scrutiny', 'kicker': None, 'content_kicker': None, 'print_headline': 'DeSantis’s Taxpayer-Funded Excursion By Helicopter in Texas Draws Scrutiny', 'name': None, 'seo': None, 'sub': None}","['DeSantis, Ron', 'Florida', 'Texas', 'Presidential Election of 2024', 'United States Politics and Government', 'Helicopters', 'Ethics and Official Misconduct', 'Campaign Finance', 'Immigration and Emigration', 'Governors (US)', 'Republican Party', 'Public Safety Department (Tex)', 'Federal Election Commission']",2023-06-28T18:26:40+0000,article,U.S.
"A South Korea law that went into effect on Wednesday standardized how the government counts ages, instantly making residents one or two years younger.",South Koreans became a year or two younger on Wednesday after a law standardizing the way the government counts age took effect.,"{'main': 'Some South Koreans Just Became Younger Overnight', 'kicker': None, 'content_kicker': None, 'print_headline': 'Citizens of South Korea Just Got a Little Younger', 'name': None, 'seo': None, 'sub': None}","['Law and Legislation', 'South Korea', 'Age, Chronological']",2023-06-28T18:28:05+0000,article,World
"Eric Goldstein, who oversaw the feeding of New York schoolchildren, took bribes to allow food with bits of bone and plastic in cafeterias.","In late 2016, Somma Food Group had a problem with its chicken tenders.","{'main': 'School Official Convicted After Students Ate Chicken With Bits of Metal', 'kicker': None, 'content_kicker': None, 'print_headline': 'Official Convicted in Tainted School Food Case', 'name': None, 'seo': None, 'sub': None}","['Somma Food Group', 'Goldstein, Eric (School Executive)', 'Bribery and Kickbacks', 'Education (K-12)', 'Food', 'Conflicts of Interest', 'Decisions and Verdicts', 'Bones', 'Meat', 'Conflicts of Interest Board (NYC)', 'Education Department (NYC)', 'New York City']",2023-06-28T18:29:17+0000,article,New York
"I’m The Times’s North Africa bureau chief. Here are five things I've read, seen and watched lately.","I’m The Times’s North Africa bureau chief. Here are five things I've read, seen and watched lately.","{'main': 'What’s In Our Queue? ‘The Silences of the Palace’ and More', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Cairo (Egypt)', 'North Africa']",2023-06-28T18:33:35+0000,multimedia,Arts
"Use whatever kind of cherries — fresh or frozen, sour or sweet — in this adaptable cherry pie from Melissa Clark.","Apple pie may rule fall, but cherry pie is summer’s queen, lording over all other flavors for the few brief weeks when fresh cherries are in season. Because, while cherry pies made with frozen fruit are perfectly delightful, nothing beats the juicy bite of seasonal cherries, baked until syrupy and wrapped in a buttery crust.","{'main': 'A Cherry Pie That’s as Sweet (or Sour) as You Want It to Be', 'kicker': 'A Good Appetite', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Cooking and Cookbooks', 'Content Type: Service', 'Cherries']",2023-06-28T18:53:51+0000,article,Food
Danielle Allen makes the case that taxation and redistribution are poor proxies for true equality.,"Danielle Allen grew up, in her own words, “in an opinionated, fractious, loving family.” Her father, “lean and bald,” was a rare Black Reagan Republican. Her Aunt Roslyn, “lesbian and built like a Mack truck, with a huge belly laugh,” was in the Peace and Freedom Party. They debated endlessly but respectfully.","{'main': 'What Old-School Economics Doesn’t Get About Democracy', 'kicker': 'Peter Coy', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-sub-only-nl', 'Allen, Danielle S', 'ARISTOTLE', 'Philosophy', 'Politics and Government', 'Democracy (Theory and Philosophy)', 'Economics (Theory and Philosophy)']",2023-06-28T19:00:03+0000,article,Opinion
"When Covid arrived, partisanship had little to do with how officials responded.","I’d like to tell you a story about the pandemic, one that may sound so gauzily hopeful, it would qualify today as a public health fairy tale.","{'main': 'The Myth of Early Pandemic Polarization', 'kicker': 'David Wallace-Wells', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Coronavirus (2019-nCoV)', 'States (US)', 'Quarantines', 'Shutdowns (Institutional)', 'Masks', 'Vaccination and Immunization', 'Coronavirus Reopenings', 'Democratic Party', 'Republican Party', 'Trump, Donald J', 'United States Politics and Government', 'internal-sub-only-nl']",2023-06-28T19:00:05+0000,article,Opinion
Russia’s president indicates that associates of the Wagner group’s leader in government and the military will face punishment.,"As President Vladimir V. Putin seeks to assert control in Russia, he is moving to punish people who enabled the mercenary boss Yevgeny V. Prigozhin’s rebellion over the weekend, but Mr. Prigozhin’s deep connections with the ruling elite are complicating those efforts.","{'main': 'Putin Moves to Punish Prigozhin Allies', 'kicker': None, 'content_kicker': None, 'print_headline': 'Putin Signaling  Plan to Punish  Allies of Rebel', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Mercenaries and Private Military Contractors', 'Politics and Government', 'Defense and Military Forces', 'Putin, Vladimir V', 'Wagner Group', 'Prigozhin, Yevgeny V', 'Surovikin, Sergei']",2023-06-28T19:08:43+0000,article,World
"Their camouflage seems almost magical, but scientists have observed some tricks the cephalopods use to blend in with their surroundings.","Put a cuttlefish on the spot — or, to be more exact, a series of spots — and it will disappear. These relatives of the squid and the octopus mimic the color and texture of their surroundings, camouflaging themselves to blend in with seaweed, sand or stone, which helps them escape predators.","{'main': 'What’s Really Happening When a Cuttlefish Seems to Vanish', 'kicker': 'Trilobites', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Fish and Other Marine Life', 'Animal Behavior', 'Animal Cognition', 'Research', 'Nature (Journal)', 'your-feed-science', 'your-feed-animals']",2023-06-28T19:10:22+0000,article,Science
Sleep apnea is a common disorder in which one’s breathing is interrupted as one sleeps. The president has had the condition for more than a decade.,"President Biden has begun using a CPAP machine in recent weeks to help deal with sleep apnea, a common disorder in which one’s breathing is interrupted as one sleeps, White House officials said Wednesday.","{'main': 'Biden Has Begun Using a CPAP Machine for Sleep Apnea', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['APNEA (SLEEP DISORDER)', 'Medical Devices', 'Biden, Joseph R Jr', 'United States Politics and Government']",2023-06-28T19:14:11+0000,article,U.S.
"The gruff appeal of Harrison Ford, both de-aged and properly weathered, is the main draw in this generally silly entry in the long-running franchise.","What makes Indy run? For years, the obvious answer was Steven Spielberg, who, starting in 1981 with “Raiders of the Lost Ark,” guided Harrison Ford’s hunky anthropologist, Dr. Henry Walton Jones Jr., in and out of gnarly escapades and ripped shirts in four box-office behemoths. By the time Spielberg directed Ford in their last outing, “Indiana Jones and the Kingdom of the Crystal Skull” (2008), Indy was in his late 50s and fans were speculating that the character was immortal, even if the franchise itself had begun running on fumes.","{'main': '‘Indiana Jones and the Dial of Destiny’ Review: Turning Back the Clock', 'kicker': None, 'content_kicker': None, 'print_headline': 'Unwrinkled or Not, Forever Battling the Nazis', 'name': None, 'seo': None, 'sub': None}","['Movies', 'Indiana Jones and the Dial of Destiny (Movie)', 'Ford, Harrison', 'Mangold, James', 'Spielberg, Steven']",2023-06-28T19:15:42+0000,article,Movies
An artist learns the ropes of car sex later in life — and finds a husband in the process.,"Having sex in a car is usually a last resort, born from the trappings of youth. For Susan Silas, it was a midlife necessity.","{'main': 'Sex on the Run? No, We Parked.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Love (Emotion)', 'Dating and Relationships', 'Sex']",2023-06-28T20:00:03+0000,article,Podcasts
,,"{'main': '‘No Hard Feelings’ Review', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:00:44+0000,multimedia,
The online retailer is renaming its website and its mobile app after buying the intellectual property of the bankrupt home-goods store.,"Soon, Overstock.com will become Bed Bath & Beyond — at least in digital form.","{'main': 'Overstock Sees a Future in Calling Itself Bed Bath & Beyond', 'kicker': None, 'content_kicker': None, 'print_headline': 'Overstock  Sees a Future As Bed Bath', 'name': None, 'seo': None, 'sub': None}","['Overstock.com', 'Bed Bath & Beyond Inc', 'Trademarks and Trade Names', 'Intellectual Property', 'E-Commerce', 'Mergers, Acquisitions and Divestitures', 'Bankruptcies', 'Shutdowns (Institutional)']",2023-06-28T20:01:52+0000,article,Business Day
,,"{'main': '‘Asteroid City’: Wes Anderson and His All-Stars Go Meta', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:01:54+0000,multimedia,
,,"{'main': 'Our Best Fourth of July Recipes', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:03:48+0000,multimedia,
"A Russian missile strike on a popular restaurant in Kramatorsk, Ukraine killed at least 11 people, wounded dozens more, and showed the peril of trying to claim pieces of ordinary life during war.",Mykyta Karagodin and his friends had just gotten their mango-passion fruit drinks and placed their dinner order on the terrace of the Ria Lounge on Tuesday night — a lazy summer evening at a popular restaurant in the eastern Ukrainian city of Kramatorsk. Then they heard a whistle.,"{'main': 'A Night Out for Dinner Ends in Destruction and Death', 'kicker': None, 'content_kicker': None, 'print_headline': 'Night Out for Dinner Turns Deadly as Missile Strike Kills at Least 11', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Civilian Casualties', 'Kramatorsk (Ukraine)', 'Deaths (Fatalities)']",2023-06-28T20:16:51+0000,article,World
,,"{'main': 'The Best Beach Umbrella Is Not Actually an Umbrella', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:19:19+0000,multimedia,
,,"{'main': 'The Best Cheap Sunglasses', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:19:50+0000,multimedia,
,,"{'main': 'Get to Know Elin Hilderbrand', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:19:53+0000,multimedia,
,,"{'main': 'The Best Carry-On Luggage', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-06-28T20:20:20+0000,multimedia,
"Up for discussion this week: “The Idol” approaches its finale, the conclusion of Kesha and Dr. Luke’s legal battle and more.","This week’s episode of Popcast (Deluxe), the weekly culture roundup show on YouTube hosted by Jon Caramanica and Joe Coscarelli, includes segments on:","{'main': 'Popcast (Deluxe): Kim Petras’s New LP and Jennifer Lawrence’s Return', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['audio-neutral-informative', 'Rap and Hip-Hop', 'Pop and Rock Music', 'Television', 'Movies', 'Drake (Rapper)', 'glaive (Singer)', 'Gottwald, Lukasz (Dr Luke)', 'Juice WRLD (Rapper)', 'Kesha', 'Lawrence, Jennifer', 'Petras, Kim (1992- )', 'Williams, Jeffery Lamar (Young Thug)']",2023-06-28T20:21:59+0000,article,Arts
"The Federal Reserve tested banks’ ability to endure a real estate crash, high unemployment and trading turmoil.","The Federal Reserve said on Wednesday that the largest U.S. banks were well capitalized and prepared to withstand large economic and financial market shocks, after it subjected them to a series of hypothetical disaster scenarios.","{'main': 'Stress Tests Show Largest Banks Are Sturdy, Fed Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Largest Banks In U.S. Passed Stress Tests, The Fed Says', 'name': None, 'seo': None, 'sub': None}","['Banking and Financial Institutions', 'United States Economy', 'Disasters and Emergencies', 'Federal Reserve System', 'Barr, Michael S']",2023-06-28T20:30:11+0000,article,Business Day
"Debris from the Titan was returned to land off Newfoundland, nearly a week after an international search-and-rescue effort for the vessel ended and its five passengers were presumed dead.","Debris and presumed human remains from the Titan submersible have been recovered and returned to land, the U.S. Coast Guard announced Wednesday night, nearly a week after an international search-and-rescue operation ended and the vessel’s five passengers were presumed dead.","{'main': 'Debris and Presumed Human Remains From Lost Titan Are Recovered', 'kicker': None, 'content_kicker': None, 'print_headline': 'Titan Remains Are Recovered For Inspection', 'name': None, 'seo': None, 'sub': None}","['Maritime Accidents and Safety', 'Submarines and Submersibles', 'OceanGate Expeditions (Argus Expeditions Ltd)', 'Deaths (Fatalities)', 'United States Coast Guard', 'Titanic (Ship)', 'Shipwrecks (Historic)', 'Newfoundland (Canada)', 'Canada']",2023-06-28T20:55:39+0000,article,World
"Also, China looks to boost its exports.","My colleagues in Washington reported that Gen. Sergei Surovikin, who was once Russia’s top commander in Ukraine, knew about the planned revolt. Yesterday, a Kremlin spokesman called The Times’s reporting, based on interviews with U.S. officials, “speculations” and “gossip,” but did not deny it.","{'main': 'Your Thursday Briefing: Who knew about the mutiny?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Far East, South and Southeast Asia and Pacific Areas', 'Ukraine', 'Prigozhin, Yevgeny V', 'India', 'China', 'Russian Invasion of Ukraine (2022)', 'Putin, Vladimir V']",2023-06-28T21:00:41+0000,article,Briefing
